environment,algorithm,mean_wall_clock_eval_seconds,mean_wall_clock_minutes,mean_return,return_per_hour
HalfCheetah-v5,PPO,14.006153846153849,0.2334358974358975,795.697341323142,204517.46408034855
HalfCheetah-v5,SAC,14.988,0.2498,7.525031147381581,1807.4490967711642
HalfCheetah-v5,TD3,9.318000000000001,0.15530000000000002,580.4664464247696,224261.7657979826
HalfCheetah-v5,DDPG,9.074,0.15123333333333333,949.817620469161,376827.18403243937
HalfCheetah-v5,TQC,13.831999999999999,0.2305333333333333,467.17303858633494,121588.964842978
Hopper-v5,PPO,1.5366666666666664,0.025611111111111105,250.48851993504033,586814.0215583746
Hopper-v5,SAC,2.428,0.040466666666666665,393.4595693359671,583374.5667730962
Hopper-v5,TD3,0.8039999999999999,0.013399999999999999,136.07059487444604,609244.0407494263
Hopper-v5,DDPG,1.1300000000000001,0.018833333333333334,213.21349503897778,679242.5923955698
Hopper-v5,TQC,3.406,0.05676666666666667,322.1807284336089,340527.998635655
Walker2d-v5,PPO,2.23,0.03716666666666667,279.28349634706336,450853.97134818806
Walker2d-v5,SAC,9.404,0.15673333333333334,605.4164275419461,231762.1007779007
Walker2d-v5,TD3,2.696,0.04493333333333334,233.70568772674764,312065.7423774354
Walker2d-v5,DDPG,3.1399999999999997,0.05233333333333333,221.78222431741742,254269.69867310525
Walker2d-v5,TQC,4.204000000000001,0.07006666666666668,486.86300285085724,416910.5141495188
