environment,algorithm,mean_auc,std_auc
HalfCheetah-v5,PPO,1189517068.3379166,115396141.65837717
HalfCheetah-v5,SAC,7360169952.337375,1014018898.31092
HalfCheetah-v5,TD3,8243779063.166339,206873496.22455177
HalfCheetah-v5,DDPG,6439165726.331253,511836861.09352684
HalfCheetah-v5,TQC,8257507966.993401,345145124.53526515
Hopper-v5,PPO,1923680505.609375,215089273.85806233
Hopper-v5,SAC,1917979507.103625,481919054.3560906
Hopper-v5,TD3,2981991085.209166,217758253.53235784
Hopper-v5,DDPG,1202872516.8659031,48796015.12674159
Hopper-v5,TQC,2537124431.3699303,225619643.99062082
Walker2d-v5,PPO,1136725265.8879166,280246048.7349687
Walker2d-v5,SAC,2880911209.518,224888941.51334432
Walker2d-v5,TD3,3029432460.1408334,338237363.44307995
Walker2d-v5,DDPG,1183829500.2082825,105572766.12136404
Walker2d-v5,TQC,3418791838.5082436,237143214.8917734
