env_id,algorithm,auc_normalized
HalfCheetah-v5,PPO,1225.1084835315446
HalfCheetah-v5,SAC,7894.407444458148
HalfCheetah-v5,TD3,8660.467436609291
HalfCheetah-v5,DDPG,6089.253065638685
HalfCheetah-v5,TQC,8553.700551469783
Hopper-v5,PPO,1974.945356267201
Hopper-v5,SAC,2113.7232696439746
Hopper-v5,TD3,2988.7046791567514
Hopper-v5,DDPG,1278.2013954071429
Hopper-v5,TQC,2615.14408887782
Walker2d-v5,PPO,1181.4594123340812
Walker2d-v5,SAC,2935.773870204469
Walker2d-v5,TD3,3119.7998765212396
Walker2d-v5,DDPG,1385.596298573652
Walker2d-v5,TQC,3570.0763691114225
