env_id,algorithm,mean_return_default,iqm_return_default,mean_return_tuned,iqm_return_tuned,mean_improvement,mean_improvement_pct,iqm_improvement
HalfCheetah-v5,PPO,1620.1470540364583,1620.1470540364583,1367.0462239583333,1367.0462239583333,-253.100830078125,-15.622089948412142,-253.100830078125
HalfCheetah-v5,SAC,8852.28525390625,8452.560709635416,11021.715494791666,11021.715494791666,2169.4302408854164,24.507007836514433,2569.15478515625
HalfCheetah-v5,TD3,10479.5341796875,10479.5341796875,10391.185546875,10391.185546875,-88.3486328125,-0.8430587781635019,-88.3486328125
HalfCheetah-v5,DDPG,7424.106770833333,7424.106770833333,9011.619791666666,9011.619791666666,1587.513020833333,21.3832191512938,1587.513020833333
HalfCheetah-v5,TQC,10399.716471354166,10399.716471354166,12175.689127604166,12175.689127604166,1775.97265625,17.077125719166336,1775.97265625
Hopper-v5,PPO,1670.5489095052083,1670.5489095052083,2279.5673014322915,2279.5673014322915,609.0183919270833,36.45618445900309,609.0183919270833
Hopper-v5,SAC,2144.5438720703123,2033.8500162760417,3385.413330078125,3385.413330078125,1240.8694580078127,57.861696100900694,1351.5633138020833
Hopper-v5,TD3,3626.0941569010415,3626.0941569010415,3626.0941569010415,3626.0941569010415,0.0,0.0,0.0
Hopper-v5,DDPG,2212.720906575521,2212.720906575521,2610.94091796875,2610.94091796875,398.220011393229,17.99684769144823,398.220011393229
Hopper-v5,TQC,3196.233642578125,3196.233642578125,2599.7450358072915,2599.7450358072915,-596.4886067708335,-18.662234162884843,-596.4886067708335
Walker2d-v5,PPO,2119.4935709635415,2119.4935709635415,1339.8123575846355,1339.8123575846355,-779.681213378906,-36.786203273287384,-779.681213378906
Walker2d-v5,SAC,3712.5354248046874,4079.1241861979165,4473.018880208333,4473.018880208333,760.4834554036456,20.484207378133068,393.8946940104165
Walker2d-v5,TD3,4367.467203776042,4367.467203776042,4544.0,4544.0,176.53279622395803,4.0419947760873995,176.53279622395803
Walker2d-v5,DDPG,1485.4355875651042,1485.4355875651042,1928.1692301432292,1928.1692301432292,442.733642578125,29.80497076307731,442.733642578125
Walker2d-v5,TQC,4521.084798177083,4521.084798177083,5297.082682291667,5297.082682291667,775.9978841145839,17.163975434114153,775.9978841145839
