environment,algorithm,n_seeds,mean_final_return,std_final_return,median_final_return,iqm_final_return,ci95_low,ci95_high
HalfCheetah-v5,PPO,6,1493.5966389973958,225.87860697199292,1572.619873046875,1565.5643310546875,1296.6027425130208,1637.7332763671875
HalfCheetah-v5,SAC,8,9665.821594238281,1990.8856771691248,10653.87939453125,10054.107055664062,8229.527160644531,10967.734924316406
HalfCheetah-v5,TD3,6,10435.35986328125,486.4556433763267,10708.134765625,10496.141357421875,10074.236328125,10796.4833984375
HalfCheetah-v5,DDPG,6,8217.86328125,1098.4636484716975,8268.02490234375,8381.969970703125,7261.9296875,9025.978515625
HalfCheetah-v5,TQC,6,11287.702799479166,1184.0683332021065,12057.16748046875,11486.540771484375,10418.920247395834,12151.244791666666
Hopper-v5,PPO,6,1975.05810546875,587.8401341012843,1996.8929443359375,2035.1359252929688,1501.9866129557292,2429.5418701171875
Hopper-v5,SAC,8,2609.869918823242,884.7764790245578,2927.1767578125,2857.658447265625,1974.1923370361328,3193.104766845703
Hopper-v5,TD3,6,3626.0941569010415,17.52616467028868,3623.9765625,3625.5647583007812,3611.83642578125,3640.3518880208335
Hopper-v5,DDPG,6,2411.8309122721353,650.7635002350078,2586.56201171875,2548.06494140625,1835.8858032226562,2857.4397786458335
Hopper-v5,TQC,6,2897.9893391927085,569.6328465145559,3142.7625732421875,2971.3767700195312,2419.1883544921875,3315.9652099609375
Walker2d-v5,PPO,6,1729.6529642740886,976.1496728614279,1297.34619140625,1452.4203491210938,1103.488505045573,2619.1708780924478
Walker2d-v5,SAC,8,3997.7167205810547,843.305897813916,4262.4443359375,4259.0438232421875,3328.341262817383,4423.58203125
Walker2d-v5,TD3,6,4455.7336018880205,522.0242818739832,4406.2470703125,4418.404602050781,4049.515584309896,4883.5947672526045
Walker2d-v5,DDPG,6,1706.8024088541667,539.3850863434157,1558.2825317382812,1564.5531616210938,1344.2699178059895,2197.855021158854
Walker2d-v5,TQC,6,4909.083740234375,534.9536720599951,4879.467529296875,4998.290283203125,4489.145263671875,5297.082682291667
