track,env_id,algorithm,n_seeds,mean_return,std_return,cv,iqr,worst_seed_return,best_seed_return,collapse_count,collapse_rate,survival_collapse_count,mean_fall_rate,mean_ep_length
default_1m,HalfCheetah-v5,PPO,3,1620.1470540364583,71.27152016256356,0.0439907723098324,79.5877685546875,1519.8612060546875,1679.0367431640625,0,0.0,0,0.0,1000.0
default_1m,HalfCheetah-v5,SAC,5,8852.28525390625,2134.57385053302,0.241132519943491,3548.5966796875,6737.37109375,12166.373046875,0,0.0,0,0.0,1000.0
default_1m,HalfCheetah-v5,TD3,3,10479.5341796875,511.27923338180153,0.04878835496074005,556.509765625,9757.287109375,10870.306640625,0,0.0,0,0.0,1000.0
default_1m,HalfCheetah-v5,DDPG,3,7424.106770833333,941.3031777223512,0.12679009162696792,1006.09521484375,6093.0244140625,8105.21484375,0,0.0,0,0.0,1000.0
default_1m,HalfCheetah-v5,TQC,3,10399.716471354166,1107.248408274242,0.10646909570315094,1202.15966796875,9559.869140625,11964.1884765625,0,0.0,0,0.0,1000.0
default_1m,Hopper-v5,PPO,3,1670.5489095052083,485.6901735654419,0.2907368774430532,582.1728515625,1017.86083984375,2182.20654296875,0,0.0,0,0.9499999999999998,452.25
default_1m,Hopper-v5,SAC,5,2144.5438720703123,817.808053403148,0.3813435873492519,1287.608642578125,1216.3299560546875,3404.83935546875,0,0.0,0,0.61,636.6
default_1m,Hopper-v5,TD3,3,3626.0941569010415,17.52616467028868,0.004833345167536139,21.3865966796875,3605.766357421875,3648.53955078125,0,0.0,0,0.03333333333333333,994.9166666666666
default_1m,Hopper-v5,DDPG,3,2212.720906575521,875.4623800124167,0.395649707747061,1064.6630249023438,1074.6998291015625,3204.02587890625,0,0.0,0,0.5499999999999999,644.5833333333334
default_1m,Hopper-v5,TQC,3,3196.233642578125,75.69331789717319,0.023682035283289847,82.2530517578125,3138.669677734375,3303.17578125,0,0.0,0,0.2833333333333333,903.9666666666666
default_1m,Walker2d-v5,PPO,3,2119.4935709635415,1162.9434718328823,0.5486893132231571,1248.031005859375,1267.726318359375,3763.788330078125,0,0.0,0,0.65,609.3833333333333
default_1m,Walker2d-v5,SAC,5,3712.5354248046874,953.1866348107359,0.25674815880332835,299.76220703125,1842.4007568359373,4482.90380859375,0,0.0,0,0.15,885.8799999999999
default_1m,Walker2d-v5,TD3,3,4367.467203776042,659.0459925860246,0.15089889902692893,756.22705078125,3774.16455078125,5286.61865234375,0,0.0,0,0.0,1000.0
default_1m,Walker2d-v5,DDPG,3,1485.4355875651042,265.4534258018544,0.17870409731934606,289.52520751953125,1281.298583984375,1860.3489990234373,0,0.0,0,0.8833333333333333,400.06666666666666
default_1m,Walker2d-v5,TQC,3,4521.084798177083,433.1415250678704,0.09580477792465086,478.117431640625,3910.27587890625,4866.5107421875,0,0.0,0,0.016666666666666666,987.8000000000001
